Schools Names, Schools Address,websites
Canadian International School,"Survey No 4 & 20, Manchenahalli, 
Yelahanka, 
Bengaluru, Karnataka, 
560064, 
India
",https://www.canadianinternationalschool.com/
Candor International School,"Koppa-harapanhalli Road, Hullahalli, 
Off, Bannerghatta Main Rd, near Electronic City, 
Bengaluru, Karnataka, 
560105, 
India
",https://candorschool.edu.in/
Chatrabhuj Narsee School,"Valley of Flower, Next to Gundecha Premiere Tower, 
off. Western Express Highway, Kandivali East, 
Mumbai, Maharashtra, 
400101, 
India
",https://www.cns.ac.in/
Chennai Public School,"TH Road, SH 50, 
Thirumazhisai, 
Chennai, Tamil Nadu, 
600124, 
India
",https://www.chennaipublicschool.com/thirumazhisai/contact.php
Chinmaya International Residential School,"Nallur Vayal Post, 
Siruvani Road, 
Coimbatore, Tamil Nadu, 
641114, 
India
",http://www.cirschool.org/
Chinmaya International Vidyalaya,"P-125, Warangade, Maan, 
Taluka and Dist: Palghar, 
Boisar, Maharashtra, 
401501, 
India
",http://chinmayainternationalvidyalaya.com/
CHIREC International,"1-55/12C, CHIREC Avenue, 
Kothaguda, Kondapur, 
Hyderabad, Telangana, 
500084, 
India
",https://www.chirec.ac.in/
Choithram International,"Choithram Hospital Campus, 
5 Manik Bagh Road, 
Indore, Madhya Pradesh, 
452014, 
India
",http://choithraminternational.com/
Christ Church School,"Clare Road, 
Byculla, 
Mumbai, Maharashtra, 
400008, 
India
",https://www.christchurchschoolmumbai.org/
Christ Junior College,"29 Hosur Road, 
Suddagunte Palya, 
Bengaluru, Karnataka, 
560029, 
India
",https://in.infoaboutcompanies.com/Catalog/KA/Bengaluru/Junior-College/Christ-Junior-College
Christ Junior College - Residential,"Mysore Road, 
Kanmanike, Kumbalgodu, 
Bengaluru, Karnataka, 
560074, 
India
",http://www.cjcib.in/
CP Goenka International School - Juhu,"Plot No 44, Gulmohar Cross Road No 1, 
JVPD, Vile Parle (West), 
Mumbai, Maharashtra, 
400049, 
India
",http://cpgoenkajuhu.com/contact.aspx
Crossroads International School,"11-12 Modern Complex, 
Devendra Dham Ki Gali, Opposite Celebration Mall, 
Udaipur, Rajasthan, 
313001, 
India
",https://crossroadsschool.in/
D Y Patil International College,"DY Patil Knowledge City, 
Charholi(BK), Via. Lohegaon, 
Pune, Maharashtra, 
412105, 
India
",https://www.dypic.in/
"D Y Patil International School, Lohagaon","Charoli Bd., 
Lohagaon, 
Pune, Maharashtra, 
412105, 
India
",https://dypispune.in/
"D Y Patil International School, Nagpur","MIHAN Project Area, 
Village Khapri (Railway), 
Nagpur, Maharashtra, 
441108, 
India
",https://entranceindia.com/city-institution-nag/dy-patil-international-school-nagpur-in-mihan-nagpur/
"D Y Patil International School, Nerul","Dr D Y Patil Vidhyanagar, 
Sector 7, Nerul, 
Navi Mumbai, Maharashtra, 
400706, 
India
",https://www.dypisworli.in/
"D Y Patil International School, Worli","Opp MIG Colony A, 
Worli, 
Mumbai, Maharashtra, 
400025, 
India
",https://www.dypisworli.in/
Daly College,"Residency Area, 
Indore, Madhya Pradesh, 
452001, 
India
",http://www.dalycollege.org/
De Paul International Residential School,"Belagola, Srirangapatna, 
Taluk, 
Avverahalli, Karnataka, 
571606, 
India
",https://dpirs.org/
Delhi Public School Ghaziabad,"Site #3, Industrial Area, 
Meerut Road, 
Ghaziabad, Uttar Pradesh, 
201002, 
India
",https://www.dpsgs.org/
Deutsche Schule New Delhi,"EP16/17 Chandragupta Marg, 
Chanakyapuri, 
New Delhi, Delhi, 
110021, 
India
",https://www.dsnd.de/en/home.html
Dhirubhai Ambani International School,"Bandra-Kurla Complex, 
Bandra (East), 
Mumbai, Maharashtra, 
400098, 
India
",https://www.dais.edu.in/
Diamond Stone International School,"Nallur Road, 
Madivallam Cross, 
Hosur, Tamil Nadu, 
635109, 
India
",https://dsischool.com/
Don Bosco International School,"Nathalal Parekh Marg, 
Matunga (E), 
Mumbai, Maharashtra, 
400019, 
India
",https://dbis.in/
"DPS International, Gurgaon","HS-01, Block W, 
South City II, 
Gurgaon, Haryana, 
122001, 
India
",https://www.dpsiedge.edu.in/
"DPS International, Saket","P-37 MB Road, 
Sector VI, Pusph Vihar, Saket, 
New Delhi, Delhi, 
110057, 
India
",https://www.dpsi.ac.in/dpsinternational/default_dpsi_saket.asp
Dr Pillai Global Academy,"Plot No 1, RSC 48, Gorai - II, 
Borivali (W), 
Mumbai, Maharashtra, 
400092, 
India
",https://www.dpga.ac.in/
"Dr Pillai Global Academy, New Panvel","Sector-7, Khanda Colony, 
New Panvel, 
Navi Mumbai, Maharashtra, 
410206, 
India
",https://www.dpgapanvel.ac.in/
DRS International School,"Survey No. 523 Opp.Apparel Park, 
Gundla Pochampally, Medchal Mandal, 
Telangana, Hyderabad, 
500100, 
India
",https://www.drsinternational.com/contact/
DSB International School,"25 Dadi Seth Road, 
Babulnath Temple, 
Mumbai, Maharashtra, 
400007, 
India
",https://dsbindia.com/
Dwarkibai Gangadhar Khetan International School,"Krishna Realties, Behind Sunder Nagar, 
Off. S.V. Road & Link Road, Malad (West), 
Mumbai, Maharashtra, 
400064, 
India
",https://dgkhetan.edu.in/
Eastern Public School,"Ward 1, Abbas Nagar, 
Bhopal, Madhya Pradesh, 
462036, 
India
",https://www.e-p-s.in/
Ecole Mondiale World School,"Gulmohar Cross Road No. 9, 
J.V.P.D. Scheme, Juhu, 
Mumbai, Maharashtra, 
400049, 
India
",https://www.ecolemondiale.org/
Edubridge International School,"Wadilal A. Patel Marg, 
Grant Road (East), 
Mumbai, Maharashtra, 
400007, 
India
",https://www.edubridgeschool.org/
Ela Green School,"No.1 Karambur Village, Chengalpattu Taluk, 
Kandchipuram District, Urapakkam, Maraimalai Nagar, 
Chennai, Tamil Nadu, 
603209, 
India
",https://elagreenschool.org/
Elpro International School,"Elpro compound, Entrance from Shridhar Nagar road, 
Pimpri-Chinchwad Link Road, 
Pune, Maharashtra, 
411033, 
India
",https://www.elproschools.edu.in/
European International School,"7A, Wisecy House, 14/15 Nanchundaroa Road, 
Injambakkam, 
Chennai, Tamil Nadu, 
600115, 
India
",https://entranceindia.com/city-institution-maa/european-international-school-in-injambakam-chennai/
Excelsior American School,"Sector 43 behind Dell Building, 
C-2 Block, Sushant Lok, Phase 1, 
Gurugram, Haryana, 
122001, 
India
",https://findpincode.in/excelsior-american-school-sector-43-behind-dell-building-c-2-block-sushant-lok-phase-1-gurgaon-haryana/3708955
Fazlani L'Académie Globale,"Shiv das Chapsi Marg, 
Opp. Wallace Flour Mills, Mazagaon, 
Mumbai, Maharashtra, 
400009, 
India
",https://www.internationalschoolsearch.com/listing/fazlani-l-acad-mie-globale-india
FirstSteps School,"Opp. Blind Girls Hostel, 
Sector 26, 
Chandigarh, Punjab, 
160019, 
India
",http://www.firststepsschool.org/
Fountainhead School,"Opp Ambetha Water Tank, 
Kunkni, Rander-Dandi Road, 
Surat, Gujarat, 
395005, 
India
",https://entranceindia.com/city-institution-stv/fountainhead-school-in-olpad-surat-1/
Fravashi International Academy,"Adjacent to Gangapur Dam Rest House, 
Gangapur - Dugaon Road, Dugaon Village, 
Nashik, Maharashtra, 
422203, 
India
",https://entranceindia.com/city-institution-isk/fravashi-international-academy-in-gangapur-road-nashik/
G D Goenka World School,"GD Goenka Education City, 
Sohna-Gurgaon Road, 
Sohna, Haryana, 
122103, 
India
",https://gdgws.gdgoenka.com/
G Global School,"29A, Rajagoundampalayam 2nd Street, 
Pallipalayam Road, 
Tiruchengodu, Tamil Nadu, 
637211, 
India
",https://gglobalschool.com/
Garodia International Centre for Learning,"153, Garodia Nagar, 
Ghatkopar East, 
Mumbai, Maharashtra, 
400077, 
India
",https://giclm.edu.in/
Gateway International School,"TOD Ashram, Jabakadal Street, 
Padur, Kazhipattur Post, Kelambakkam, 
Chennai, Tamil Nadu, 
603103, 
India
",https://www.gatewayschools.edu.in/
GEMS Akademia International School,"Bakrahat Road, Thakurpukur, 
P.O. Rasapunja, 
Kolkata, West Bengal, 
700104, 
India
",https://gemsakademia.in/
GEMS Cambridge International School - Batala,"Amritsar Road, 
Batala, Punjab, 
143505, 
India
",https://gcisbatala.com/
GEMS Cambridge International School - Hoshiarpur,"Jalandhar - Phagwara, 
ByPass Road, 
Hoshiarpur, Punjab, 
146111, 
India
",http://www.cishoshiarpur.com/
GEMS Genesis International School,"Near Viashnovedi Circle, 
SP Ring Road, 
Ahmedabad, Gujarat, 
382421, 
India
",https://theggis.com/
GEMS International School - Palam Vihar Gurgaon,"Block C-2, 
Palam Vihar, 
Gurgaon, Haryana, 
 122015, 
India
",https://gemsinternationalschoolgurgaon.com/
GEMS Modern Academy - Gurgaon,"Block E, South City II, 
Gurgaon, Haryana, 
122018, 
India
",https://gemsmodernacademygurgaon.com/
GEMS Modern Academy - Kochi,"Plot B1-4, Smart City Kochi, 
Opp. Infopark Phase II, Brahmapuram, 
Kochi, Kerala, 
682303, 
India
",https://www.gemseducation.com/choosing-a-school/find-a-school/gems-modern-academy-kochi/
Genesis Global School,"A-12, Sector 132, 
Noida Expressway, Uttar Pradesh, 
201304, 
India
",https://www.genesisglobalschool.edu.in/
German International School Chennai,"4/391 Ram Garden Anna Salai, 
Palavakkam, 
Chennai, Tamil Nadu, 
600041, 
India
",https://www.chennai.gis.com.de/
GJR International School,"1/1 & 1/2 Chinnappanahalli, 
Bangalore, Karnataka, 
560037, 
India
",https://gjrinternationalschool.edu.in/
Glendale Academy,"Beside Sun City, 
Artillery Centre Gate, 
Hyderabad, Telangana, 
500086, 
India
",https://www.glendale.edu.in/
Glendale International School,"Plot A, Road No. 20, 
HMDA Layout,  Tellapur, 
Hyderabad, Telangana, 
502032, 
India
",https://www.glendale.edu.in/glendale-international-school/ib-pyp-tellapur/location-contact
Global City International School,"135, 5th Main, 6th Cross, 
Malleshpalya, New Thippasandra Post, Near CV Raman Nag+, 
Bengaluru, Karnataka, 
560075, 
India
",http://www.gcis.edu.in/index.php
Global English School - Calicut,"Kaimpalam, Pantheerankavu- Mankavu Road, 
Pantheerankavu, 
Calicut, Kerala, 
India
",https://geschoolclt.com/
Global Indian International School (GIIS ) Uppal Campus,"Survey No. 8 & 9, 
Peerjadiguda, Uppal Mandal, 
Hyderabad, Telangana, 
India
",https://www.giishyderabad.org.in/
Global Indian International School (GIIS) Ahmedabad Campus,"Godrej Garden City, 
Jagatpur, 
Ahmedabad, Gujarat, 
382470, 
India
",https://ahmedabad.globalindianschool.org/
Global Indian International School (GIIS) Balewadi Campus,"Kul Echoloch', Near Balewadi Sports Complex, 
Nande–Balewadi Road, Mahalunge, 
Pune, Maharashtra, 
411045, 
India
",https://pune.globalindianschool.org/student-life/balewadi-campus
Global Indian International School (GIIS) Bannerghatta Campus,"Bannerghatta Main Road, 
Gollahalli, Bannerghatta, 
Bangalore, Karnataka, 
560083, 
India
",https://bangalore.globalindianschool.org/
Global Indian International School (GIIS) Hadapsar Campus,"Leisure Town, Behind Amanora Fire Station, 
Malwadi, Hadapsar, 
Pune, Maharashtra, 
411028, 
India
",https://pune.globalindianschool.org/
Global Indian International School (GIIS) Noida Campus,"D-5, Sector 71, 
(2 Km from Noida City Centre Metro Station), 
Noida, Uttar Pradesh, 
201301, 
India
",https://noida.globalindianschool.org/
Global Indian International School (GIIS) Surat Campus,"Chalthan (Next to Chokhi Dhani), 
Kadodara–Palsana Highway, 
Surat, Gujarat, 
394305, 
India
",https://surat.globalindianschool.org/
Global Indian International School (GIIS) Whitefield Campus,"No-5, 6, 8 Heggondahalli Village, 
Whitefield Sarjapur Main Road, Gunjur Post, 
Bangalore, Karnataka, 
560087, 
India
",https://bangalore.globalindianschool.org/
Goldcrest International,"Sector 29, Plot No: 59, 
Near Rajiv Gandhi Park, 
Navi Mumbai, Maharashtra, 
400703, 
India
",http://goldcrestinternational.in/
Good Shepherd International School,"Good Shepherd Knowledge Village, 
M Palada PO, 
Ootacamund, Tamil Nadu, 
643 004, 
India
",https://gsis.ac.in/
GPS Brookes Kochi,"P.O, Thiruvaniyoor, 
Thiruvankulam - Chottanikkara Rd, 
Kochi, Kerala, 
682308, 
India
",https://gpsbrookeskochi.org/
Grassroots Global School,"7/4, Lynwood Avenue, 
Mahalingpuram, 
Chennai, Tamil Nadu, 
600034, 
India
",https://www.edypa.in/india/chennai/schools/grassroots-global-school
Greenwood High International School,"No.8-14, Chickkawadayara Pura, 
Near Heggondahalli, Gunjur Post, Varthur via, 
Bengaluru, Karnataka, 
560087, 
India
",https://greenwoodhigh.edu.in/contact-us/
Harvest International School,"Carmalaram post silk farm, Kodathi village, 
Off sarjapur road, near Kodathi village, 
Bangalore, Karnataka, 
560035, 
India
",https://www.harvestinternationalschool.in/contact-us/
Harvest International School,"Jassowal-Kular, 
Tehsil Jagraon, 
Ludihana, Punjab, 
141023, 
India
",http://harvestinternationalschool.com/
Hebron School,"Lushington Hall, 
Ootacamund, Tamil Nadu, 
643001, 
India
",https://hebronooty.org/
"Heritage Xperiential Learning School, Gurgaon","Sector 62, 
Gurgaon, Haryana, 
122011, 
India
",https://www.heritagexperiential.org/
HFS International Powai,"Richmond Street, Hiranandani Gardens, 
Powai, 
Mumbai, Maharashtra, 
400076, 
India
",https://www.hfsinternationalpowai.com/
Hill Spring International School,"C Wing, NSS Educational Complex, 
MP Mill Compound, Tardeo, 
Mumbai, Maharashtra, 
400034, 
India
",https://www.hsieducation.org/
Hillside Academy,"Road No 46, 
Jubilee Hills, 
Hyderabad, Telangana, 
500033, 
India
",https://www.eduvidya.com/Schools/Hillside-Academy-Jubilee-Hills
Himalayan International Residential School,"P. O. Rajganj, 
Dist Jalpaiguri, West Bengal, 
735134, 
India
",https://www.hirs.in/
Himali Boarding School,"Doomaram, P.O. Kurseong, 
Dist Darjeeling, West Bengal, 
734203, 
India
",https://www.himalischool.org/home
Hindustan International School,"40 GST Road, St Thomas Mount, 
Guindy, 
Chennai, Tamil Nadu, 
India
",https://hindustanschools.in/page-section/contact-us/
HLC International - Chennai,"Wing Haven Gardens, 
Karanai, 
Chennai, Tamil Nadu, 
603103, 
India
",https://school.careers360.com/schools/hlc-international-school-wing-haven-gardens-chennai
HUS International School,"5/63 Old Mahabalipuram Ro, Egattur Village, 
Padur PO, Kelambakkam, 
Chennai, Tamil Nadu, 
600130, 
India
",https://hus.edu.in/
HVB Global Academy,"79 Marine Drive, 
Mumbai, Maharashtra, 
400020, 
India
",https://www.hvbglobalacademy.org/
India International School,"26/1, Sarjapur Road, 
Chikkabellandur, 
Bengaluru, Karnataka, 
560035, 
India
",https://iisbangalore.org/contact-us/
India International School,"Kshipra Path, Opp VT Road, 
Mansarovar, 
Jaipur, Rajasthan, 
302020, 
India
",https://www.iisjaipur.org/iis/
Indus International School (Bangalore),"Billapura Cross, 
Sarjapur, 
Bengaluru, Karnataka, 
562125, 
India
",https://www.indusschool.com/
"Indus International School, Hyderabad","Survey No 424 & 425, 
Kondakal Village, Near Mokila (M), Shankarpally, 
Hyderabad, Telangana, 
 501203, 
India
",https://www.indusschool.com/international-school-hyderabad/connect
"Indus International School, Pune","576 Bhukum, Near Manas Resort, 
Tal Mulshi, 
Pune, Maharashtra, 
411042, 
India
",https://www.indusschool.com/international-school-pune/
International School Aamby,"Aamby Valley City, 
Ambavene, 
Pune, Maharashtra, 
410401, 
India
",https://www.eduvidya.com/Schools/International-School-Aamby-Ambavane
International School Kashmir (ISK),"Baghat Chowk, 
Srinagar, Jammu & Kashmir, 
India
",https://www.internationalschoolsearch.com/listing/international-school-kashmir-isk-india
International School of Hyderabad,"c/o ICRISAT, 
Patancheru, 
Hyderabad, Telangana, 
502324, 
India
",https://www.ishyd.org/
International Village School Chennai,"33A, Clasic Farms Road, 
Sholinganallur, 
Chennai, Tamil Nadu, 
600119, 
India
",https://www.internationalvillage.org/
Inventure Academy,"Whitefield - Sarjapur Road, 
Chikkavaderapura, Near Dommasandra Circle, 
Bengaluru, Karnataka, 
562125, 
India
",https://www.inventureacademy.com/
Ithaka International School,"Near Kanuparthipadu, 
Golagamudi Road, 
Nellore, Andhra Pradesh, 
India
",https://ithaka.in/
Jain International Residential School,"Jakkasandra Post, Kanakpura Road, 
Ramanagara District, 
Bengaluru, Karnataka, 
562112, 
India
",https://www.jirs.ac.in/
Jamnabai Narsee International School,"Narsee Monjee Bhavan, N.S. Road No.7, 
J.V.P.D Scheme, Vile Parle (West), 
Mumbai, Maharashtra, 
400049, 
India
",https://www.jns.ac.in/
Jayshree Periwal High School,"3, Adjoining Stadium, 
Ajmer Road, Chitrakoot, 
Jaipur, Rajasthan, 
302021, 
India
",https://www.jphschool.com/
Jayshree Periwal International School,"Mahapura, SEZ Road, 
Ajmer Road, Jaipur, 
Rajasthan, 
302026, 
India
",https://jpischool.com/
JBCN International School - Oshiwara,"Survey No. 41, CTS No. 1, Off Andheri Link Road, 
Behind Tarapore Towers, Mhada Colony, Oshiwara, Andher+, 
Mumbai, Maharashtra, 
400058, 
India
",https://www.jbcnschool.edu.in/contact-us/
JBCN International School - Parel,"Yogi Mansion, CTS No. 244, Dr Vinay Walimbe Road, 
Off Dr S.S. Rao Marg, Parel East, 
Mumbai, Maharashtra, 
400012, 
India
",https://www.jbcnschool.edu.in/parel/contact-us/
JG International School,"JG Campus of Excellence, 
JG Campus Road, 
Ahmedabad, Gujarat, 
380061, 
India
",https://www.jginternationalschool.in/
Johnson Grammar School ICSE&IBDP,"Street No 3, Kakatiya Nagar, 
Habsiguda, 
Hyderabad, Andhra Pradesh, 
 500007, 
India
",https://www.jgschool.org/
Jyotirmay International School,"Opp Wageshwar Temple, Gat No 2188 A, Pl No. 8 & 9 A, 
Bhd. Rambhau Moze Engineering College, BAIF Rd, Wagholi, 
Pune, Maharashtra, 
412207, 
India
",https://www.bharatibiz.com/jyotirmay-international-school_1E-020-6510-0784
K.R. Mangalam Global School,"Nandi Vithi Road N-Block, 
GK-I, 
New Delhi, Delhi, 
110048, 
India
",https://krmangalam.global/
Kai Early Years,"66/2 Nallurhalli Main Road, 
Whitefield, 
Bangalore, Karnataka, 
560066, 
India
",http://kaiearlyyears.com/
KC High,"12/4, Arunachalam Road, 
Kotturupuram, 
Chennai, Tamil Nadu, 
600085, 
India
",https://entranceindia.com/city-institution-maa/kc-high-in-kotturpuram-chennai/
Kennedy High - The Global School,"Bachupally, 
Miyapur-Medchal Highway, 
Hyderabad, Telangana, 
500090, 
India
",https://kennedyglobalschool.edu.in/
KiiT International School,"KiiT Campus 9, 
Patia, 
Bhubaneswar, Odisha, 
751024, 
India
",https://kiitis.ac.in/
King's College India,"A1 Sector 5, 
Rohtak, Haryana, 
124001, 
India
",https://www.kingscollegeindia.in/
Kodaikanal International School,"PO Box 25, 
Seven Roads Junction, 
Kodaikanal, Tamil Nadu, 
624101, 
India
",https://www.kis.in/
Kohinoor American School,"Old Mumbai - Pune Highway, 
Near to The Dukes Retreat, 
Khandala, Maharashtra, 
410301, 
India
",http://www.kohinooramericanschool.ac.in/contact_us.php
L’Ecole Française Internationale de Bombay,"Ashishwang Bungalow, Plot No.72, 
Pochkhanwala Road, Worli, 
Mumbai, Maharashtra, 
400030, 
India
",https://www.internationalschoolsearch.com/listing/l-ecole-fran-aise-internationale-de-bombay-india
Lakshmipat Singhania Academy,"12B Alipore Road, 
Kolkata, West Bengal, 
700027, 
India
",https://www.lsakolkata.com/
Lalaji Memorial Omega International School,"79, Omega School Road  (Pallavaram Road), 
Kolapakkam, Kovur Post, 
Chennai, Tamil Nadu, 
600128, 
India
",https://www.omegaschools.org/
Lancers International School,"DLF Phase V, Sector 53, 
Gurgaon, Haryana, 
122001, 
India
",https://www.lis.ac.in/
Learning Panorama School,"Plot no 25c, Old MHB Colony, OPP Vaidya Kumar Gdn, 
Nr Don Bosco School, Gorai Link Road, Borivali(W), 
Mumbai, Maharashtra, 
400092, 
India
",https://www.internationalschoolsearch.com/listing/learning-panorama-school-india
"Legacy School, Bangalore","6/1 A, 6/2 Byrathi Village, Bidarahalli Hobli, 
East Taluk, 
Bengaluru, Karnataka, 
560077, 
India
",https://lsb.edu.in/
Lycée français de Pondichéry,"12 rue Victor Simonel, 
Pondicherry, Tamil Nadu, 
605001, 
India
",https://lfpondichery.net/admissions-2/
M Ct M Chidambaram Chettyar International School,"179, Luz Church Road, 
Mylapore, 
Chennai, Tamil Nadu, 
600004, 
India
",https://www.mctminternational.com/
Mahatma Gandhi International School,"Sheth Motilal Hirabhai Bhavan, 
Opp. Induben Khakhrawala, Mithakali, Navrangpura, 
Ahmedabad, Gujarat, 
380006, 
India
",https://entranceindia.com/city-institution-amd/mahatma-gandhi-international-school-in-navrangpura-ahmedabad/
Mahindra International School,"P26, Rajeev Gandhi Infotech park, Phase 1, 
Hinjewadi, 
Pune, Maharashtra, 
411057, 
India
",https://misp.org/
